"tagID","tagProjectID","dateBin","mfgID","period","tagDeployID","utcYearStart","utcMonthStart","utcDayStart","utcHourStart","utcMinuteStart","utcYearEnd","utcMonthEnd","utcDayEnd","utcHourEnd","utcMinuteEnd","deferSec","speciesName","bandNumber","markerNumber","markerType","decimalLatitude","decimalLongitude","elevationMeters","sex","age","weightGrams","wingMillimeters","tarsusMillimeters","culmenMillimeters","billMillimeters","headMillimeters","fatScore","comments","test"
"33248","4","2019-1","69","10.900899887084961","21642","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02177","PTT","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","145.0","","","","","","","","false"
"33249","4","2019-1","70","10.900799751281738","21643","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02174","PTN","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","113.0","","","","","","","","false"
"33250","4","2019-1","71","10.901000022888184","21644","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04530","PNV","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","138.0","","","","","","","","false"
"33251","4","2019-1","61","10.901000022888184","21645","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-04533","PCL","Dk GRN flag","32.55030000","-80.19540000","1.0","U","ad","150.0","","","","","","","","false"
"34109","4","2019-2","332","11.297699928283691","22094","2019","7","8","17","30","2019","7","11","13","0","0.0","","","","","","","","","","","","","","","","","","true"
"34110","4","2019-2","333","11.297200202941895","22095","2019","10","28","13","0","2019","10","30","18","35","0.0","","","","","33.89610000","-83.36220000","","","","","","","","","","","TEST TAG","true"
"34111","4","2019-2","334","11.297200202941895","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34112","4","2019-2","335","11.297300338745117","22097","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34113","4","2019-2","336","11.297699928283691","22098","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34114","4","2019-2","337","11.297200202941895","22099","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34115","4","2019-2","338","11.297699928283691","22100","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34116","4","2019-2","339","11.296899795532227","22101","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34117","4","2019-2","340","11.297599792480469","22102","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34118","4","2019-2","342","11.297699928283691","22103","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34119","4","2019-2","343","11.297499656677246","22104","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34120","4","2019-2","344","11.297599792480469","22105","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34121","4","2019-2","345","11.297100067138672","22106","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34122","4","2019-2","346","11.297599792480469","22107","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34123","4","2019-2","347","11.297300338745117","22108","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34124","4","2019-2","348","11.29740047454834","22109","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34125","4","2019-2","349","11.297599792480469","22110","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34126","4","2019-2","350","11.297699928283691","22111","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34127","4","2019-2","351","11.297599792480469","22112","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34128","4","2019-2","352","11.297200202941895","22113","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34129","4","2019-2","353","11.297100067138672","22114","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34130","4","2019-2","354","11.297699928283691","22115","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34131","4","2019-2","355","11.297699928283691","22116","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34132","4","2019-2","356","11.297599792480469","22117","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34133","4","2019-2","357","11.296799659729004","22118","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","false"
"34134","4","2019-2","358","11.297800064086914","22119","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04668","=XN","LIME flag","32.06620000","-80.89310000","1.0","U","ad","133.0","","","","","","","","false"
"34135","4","2019-2","359","11.297300338745117","22120","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04669","=44","LIME flag","32.06620000","-80.89310000","1.0","U","ad","145.0","","","","","","","","false"
"34136","4","2019-2","360","11.296799659729004","22121","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04670","=43","LIME flag","32.06620000","-80.89310000","1.0","U","ad","127.0","","","","","","","","false"
"34137","4","2019-2","361","11.297499656677246","22122","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04671","=YP","LIME flag","32.06620000","-80.89310000","1.0","U","ad","164.0","","","","","","","","false"
"34138","4","2019-2","362","11.297499656677246","22123","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04672","=YV","LIME flag","32.06620000","-80.89310000","1.0","U","ad","150.0","","","","","","","","false"
"34139","4","2019-2","363","11.297599792480469","22124","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04673","=68","LIME flag","32.06620000","-80.89310000","1.0","U","ad","147.0","","","","","","","","false"
"34140","4","2019-2","364","11.297100067138672","22125","2019","10","28","13","0","2019","10","30","18","35","0.0","","","","","33.89620000","-83.36250000","","","","","","","","","","","TEST TAG","true"
"34141","4","2019-2","365","11.297200202941895","22126","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04674","=YN","LIME flag","32.06620000","-80.89310000","1.0","U","ad","133.0","","","","","","","","false"
"34142","4","2019-2","366","11.297699928283691","22127","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04676","=YY","LIME flag","32.06620000","-80.89310000","1.0","U","ad","158.0","","","","","","","","false"
"34143","4","2019-2","367","11.29740047454834","22128","2019","5","6","17","30","","","","","","0.0","Calidris canutus","1262-02163","PMV","Dk GRN flag","32.55030000","-80.19540000","1.0","U","imm","130.0","","","","","","","","false"
"34144","4","2019-2","368","11.29740047454834","22129","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04675","=VY","LIME flag","32.06620000","-80.89310000","1.0","U","ad","143.0","","","","","","","","false"
"34145","4","2019-2","369","11.297699928283691","22130","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04678","PH=","LIME flag","32.06620000","-80.89310000","1.0","U","ad","160.0","","","","","","","","false"
"34146","4","2019-2","370","11.297499656677246","22131","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04677","=52","LIME flag","32.06620000","-80.89310000","1.0","U","ad","162.0","","","","","","","","false"
"34147","4","2019-2","371","11.297699928283691","22132","2019","5","22","17","0","","","","","","0.0","Arenaria interpres","1262-04679","=VA","LIME flag","32.06620000","-80.89310000","1.0","U","ad","137.0","","","","","","","","false"
"36609","4","2019-3","185","19.89780044555664","24667","2019","8","7","17","45","","","","","","0.0","Passerina ciris","2811-05601","","","32.61700600","-80.07115900","","U","HY","","","","","","","","","false"
