motusTagID,spp,age,tagDeployID,start_recvSiteName,start_recvDeployID,start_recvDeployLat,start_recvDeployLon,start_time,end_recvSiteName,end_recvDeployID,end_recvDeployLat,end_recvDeployLon,end_time,traj_len,traj_net_disp,traj_dur_h,traj_straightness,groundspeed_net,groundspeed_traj,brng_init,uwind,vwind,tailwind,keep,notes
33225,Ruddy Turnstone,ad,21619,Pointe Mouillee,4285,42.0096,-83.1862,2019-05-27T03:40:29Z,Fletcher,5534,44.5413,-84.8644,2019-05-27T04:14:54Z,321701.4876,312504.2276,0.573455028,0.971410577,151.3749565,155.8300477,334.7291801,1.300003,-2.600006,-2.906153497,FALSE,suspect detection times (UTC offset issue?)
33226,Ruddy Turnstone,ad,21620,Lakeview landfill,4605,42.0628,-80.0168,2019-05-23T14:53:50Z,Arkey's Acres,3954,42.6119,-81.7345,2019-05-24T03:31:01Z,192454.9412,154136.8841,12.61978756,0.800898554,3.392751339,4.236181129,293.8867802,1.3999939,4.599991,0.58259646,TRUE,
33226,Ruddy Turnstone,ad,21620,Arkey's Acres,3954,42.6119,-81.7345,2019-05-24T03:34:50Z,South Tawas,5528,44.3333,-83.603,2019-05-24T21:16:30Z,243779.3538,243779.3538,17.69453475,1,3.826971894,3.826971894,322.3125427,4.399994,-4.900009,-6.567611435,TRUE,
33226,Ruddy Turnstone,ad,21620,South Tawas,5528,44.3333,-83.603,2019-05-24T21:40:51Z,Piskwamish,5293,51.6582,-80.5669,2019-05-25T10:16:18Z,940167.2635,845197.7738,12.59071539,0.898986602,18.64684826,20.74207582,14.42971389,-2.600006,0.19999695,-0.454213269,TRUE,
33226,Ruddy Turnstone,ad,21620,Mack Lake,5529,44.565,-84.024,2019-05-24T22:09:01Z,Piskwamish,5293,51.6582,-80.5669,2019-05-25T10:16:18Z,897908.9159,829416.5048,12.12136108,0.92372009,19.00722798,20.57682645,16.80247461,-4.800003,2.699997,1.197174109,FALSE,shorter subset
33226,Ruddy Turnstone,ad,21620,St. Helen,5535,44.3487,-84.3449,2019-05-24T22:18:06Z,Piskwamish,5293,51.6582,-80.5669,2019-05-25T10:16:18Z,862835.8588,859949.2073,11.96995681,0.99665446,19.95619397,20.02318232,17.74112565,-4.800003,2.699997,1.108951796,FALSE,shorter subset
33226,Ruddy Turnstone,ad,21620,Ogemaw 2,5537,44.4642,-84.3269,2019-05-24T21:57:45Z,Piskwamish,5293,51.6582,-80.5669,2019-05-25T10:16:18Z,849921.6334,847291.9018,12.30910367,0.996905913,19.12071488,19.18005965,17.92489274,-4.800003,2.699997,1.091644238,FALSE,shorter subset
33226,Ruddy Turnstone,ad,21620,Ogemaw,5532,44.4801,-84.2907,2019-05-24T22:20:39Z,Piskwamish,5293,51.6582,-80.5669,2019-05-25T10:16:18Z,846544.0357,844724.0945,11.92756342,0.997850152,19.67254951,19.71493362,17.8021662,-4.800003,2.699997,1.103204129,FALSE,shorter subset
33226,Ruddy Turnstone,ad,21620,Red Oak,5533,44.7394,-84.2773,2019-05-24T22:39:00Z,Piskwamish,5293,51.6582,-80.5669,2019-05-25T10:16:18Z,817709.0062,817002.0964,11.62172569,0.9991355,19.52765301,19.54454928,18.35537656,-4.800003,2.699997,1.051056745,FALSE,shorter subset
33226,Ruddy Turnstone,ad,21620,Clear Lake,5536,45.1565,-84.1872,2019-05-24T23:02:48Z,Piskwamish,5293,51.6582,-80.5669,2019-05-25T10:16:18Z,770820.5507,770820.5507,11.22504583,1,19.07491718,19.07491718,19.00120102,-4.800003,2.699997,0.990055638,FALSE,shorter subset
33229,Ruddy Turnstone,ad,21623,Garden,5026,34.008,-81.0801,2019-05-26T02:02:59Z,Auzins,4081,42.9254,-81.3673,2019-05-26T19:35:08Z,1023523.755,990201.587,17.53574514,0.967443679,15.68544674,16.21329187,358.6376996,-0.40000916,3.5,3.508520696,TRUE,
33229,Ruddy Turnstone,ad,21623,Bolin_Port_Burwell,4822,42.6226,-80.7218,2019-05-26T18:07:01Z,Clear Lake,5536,45.1565,-84.1872,2019-05-26T23:24:58Z,402370.763,395917.0159,5.299339222,0.983960696,20.75295508,21.09124396,316.5058505,2.800003,-0.6000061,-2.362458694,FALSE,shorter subset
33229,Ruddy Turnstone,ad,21623,West Port Bruce,2292,42.6616,-81.0627,2019-05-26T18:45:54Z,Clear Lake,5536,45.1565,-84.1872,2019-05-26T23:24:58Z,374078.9226,373892.3512,4.651325667,0.999501251,22.32890016,22.34004223,318.9167503,2.800003,-0.6000061,-2.292293656,FALSE,shorter subset
33229,Ruddy Turnstone,ad,21623,Auzins,4081,42.9254,-81.3673,2019-05-26T19:47:51Z,Clear Lake,5536,45.1565,-84.1872,2019-05-26T23:24:58Z,335611.985,335428.9285,3.618762861,0.999454559,25.74766735,25.76171885,318.6170675,2.0999908,0.099990845,-1.313255601,TRUE,
33229,Ruddy Turnstone,ad,21623,Pinery_Provincial_Park,5756,43.2497,-81.8249,2019-05-26T20:46:00Z,Clear Lake,5536,45.1565,-84.1872,2019-05-26T23:24:58Z,283779.8653,283779.8653,2.64967275,1,29.74999096,29.74999096,319.1110445,2.0999908,0.099990845,-1.299052646,FALSE,shorter subset
33230,Ruddy Turnstone,ad,21624,Stutchbury,4215,41.7859,-79.9504,2019-05-27T21:21:47Z,Red Oak,5533,44.7394,-84.2773,2019-05-28T14:52:16Z,1030353.211,480586.554,17.50819364,0.466428938,7.624788014,16.347159,314.5124712,-0.90000916,0.19999695,0.782005376,TRUE,
